,answer_count,articles_count,avatar_url,avatar_url_template,badge,follower_count,gender,headline,id,is_advertiser,is_followed,is_following,is_org,name,type,url,url_token,user_type
0,77,1,https://pic3.zhimg.com/v2-60245ae62a8f6a549ecd30bb546b056e_is.jpg,https://pic3.zhimg.com/v2-60245ae62a8f6a549ecd30bb546b056e_{size}.jpg,[],60779,1,做一个青史留名的好老公,6e8e5b1439390b02c781b210bd8e4769,False,False,False,False,顾宇,people,http://www.zhihu.com/api/v4/people/6e8e5b1439390b02c781b210bd8e4769,hubertuswi,people
1,84,0,https://pic2.zhimg.com/v2-352ec59a4c01b38033c9d3f3f04efd61_is.jpg,https://pic2.zhimg.com/v2-352ec59a4c01b38033c9d3f3f04efd61_{size}.jpg,[],3711,0,我不胖 真的 我只是脸大,25eb5f345ccfb3ed637e2c1bceadb923,False,False,False,False,软清,people,http://www.zhihu.com/api/v4/people/25eb5f345ccfb3ed637e2c1bceadb923,bu-ai-chi-ying-tao,people
2,66,13,https://pic1.zhimg.com/v2-045a92a416f08e9aa2d87e2d7a39e9e4_is.jpg,https://pic1.zhimg.com/v2-045a92a416f08e9aa2d87e2d7a39e9e4_{size}.jpg,[],14903,0,慢养孩子，静待花开。,8efe8fc03d002cc07cf94269d653e99a,False,False,False,False,帅姐姐就是原老师,people,http://www.zhihu.com/api/v4/people/8efe8fc03d002cc07cf94269d653e99a,yuanshuai1020,people
3,1174,3,https://pic3.zhimg.com/v2-87fa7b640d561eb95c3829e27c529636_is.jpg,https://pic3.zhimg.com/v2-87fa7b640d561eb95c3829e27c529636_{size}.jpg,[],2371,1,知乎最后一个处男,b73ae1392b67586468afc607f72dd54e,False,False,False,False,Nao-diamond,people,http://www.zhihu.com/api/v4/people/b73ae1392b67586468afc607f72dd54e,nao-diamond,people
4,365,0,https://pic4.zhimg.com/d05507bbff7d5073ff1879278965a253_is.jpg,https://pic4.zhimg.com/d05507bbff7d5073ff1879278965a253_{size}.jpg,[],16272,1,脾气不好，别逗我笑,80c413cd4ce4b2928d48e324f5bdc6bf,False,False,False,False,大momo,people,http://www.zhihu.com/api/v4/people/80c413cd4ce4b2928d48e324f5bdc6bf,da-momo-93,people
5,3,0,https://pic3.zhimg.com/v2-e2786fdffaffa829092a063baaa282ea_is.jpg,https://pic3.zhimg.com/v2-e2786fdffaffa829092a063baaa282ea_{size}.jpg,[],1016,0,,c2ad3a8338aedf2ba0588a4b1cf1722f,False,False,False,False,Joyce,people,http://www.zhihu.com/api/v4/people/c2ad3a8338aedf2ba0588a4b1cf1722f,joyce-67-51,people
6,2,0,https://pic2.zhimg.com/v2-872f6fae0df34ff5668ffd708ba26fad_is.jpg,https://pic2.zhimg.com/v2-872f6fae0df34ff5668ffd708ba26fad_{size}.jpg,[],286,0,热爱生活，优容人性,c76a06a8e01559c69c90cb762a1ae193,False,False,False,False,Vianna,people,http://www.zhihu.com/api/v4/people/c76a06a8e01559c69c90cb762a1ae193,xiao-wei-71-27-54,people
7,19,0,https://pic3.zhimg.com/v2-446aa8be05c64c65140fc6b6b7834eda_is.jpg,https://pic3.zhimg.com/v2-446aa8be05c64c65140fc6b6b7834eda_{size}.jpg,[],221,0,哈哈哈哈哈哈哈哈哈哈,bb0b9c7ca4beeb8f71677930a86c24d6,False,False,False,False,若愚,people,http://www.zhihu.com/api/v4/people/bb0b9c7ca4beeb8f71677930a86c24d6,mu-li-59-49,people
8,3,0,https://pic1.zhimg.com/v2-3a80eb92d2610a6a50ebd94d19ea7248_is.jpg,https://pic1.zhimg.com/v2-3a80eb92d2610a6a50ebd94d19ea7248_{size}.jpg,[],644,0,微博 Ingrid猪猪仔,298f853116c747052792307ca4286365,False,False,False,False,Ingrid猪猪仔,people,http://www.zhihu.com/api/v4/people/298f853116c747052792307ca4286365,tang-qi-55-37,people
9,4,0,https://pic4.zhimg.com/v2-508be7e0c4afb032b96ac19a6d31a653_is.jpg,https://pic4.zhimg.com/v2-508be7e0c4afb032b96ac19a6d31a653_{size}.jpg,[],6846,0,微博:@罗二溪 说不定是个麻豆,cca29a517bd35969ed3319eab59190a8,False,False,False,False,罗二溪,people,http://www.zhihu.com/api/v4/people/cca29a517bd35969ed3319eab59190a8,luo-er-xi-38,people
10,7,0,https://pic3.zhimg.com/f0a75309e_is.jpg,https://pic3.zhimg.com/f0a75309e_{size}.jpg,[],90,1,,329550efd5cac72b2fffc996bb21d5d8,False,False,False,False,郭靖,people,http://www.zhihu.com/api/v4/people/329550efd5cac72b2fffc996bb21d5d8,guo-ping-yang,people
11,37,1,https://pic1.zhimg.com/v2-c0447d07e2febfd03d5cd8ed3ede9504_is.jpg,https://pic1.zhimg.com/v2-c0447d07e2febfd03d5cd8ed3ede9504_{size}.jpg,[],5873,0,我有一座避难岛，欢迎登岛（公众号：refuge117）,80b832016f324ae61a96ffaeed0bfb51,False,False,False,False,芙安君,people,http://www.zhihu.com/api/v4/people/80b832016f324ae61a96ffaeed0bfb51,fu-an-jun,people
12,12,0,https://pic4.zhimg.com/v2-bfc7300053c7a0ee0456d5bbfe89560b_is.jpg,https://pic4.zhimg.com/v2-bfc7300053c7a0ee0456d5bbfe89560b_{size}.jpg,[],1037,0,大概是受气包体质,4c74ce2af8211a4f0b21105b8a509cea,False,False,False,False,闻风铃,people,http://www.zhihu.com/api/v4/people/4c74ce2af8211a4f0b21105b8a509cea,wen-ling-14-5,people
13,215,35,https://pic3.zhimg.com/8ab7eba9a7badfabb4d345598988e0d2_is.jpg,https://pic3.zhimg.com/8ab7eba9a7badfabb4d345598988e0d2_{size}.jpg,[],15627,0,小龄非单身女/大提琴从业者/骗赞狂魔,cf7316d3afac3d9e6ae03341b4d79f55,False,False,False,False,裳Ashelia,people,http://www.zhihu.com/api/v4/people/cf7316d3afac3d9e6ae03341b4d79f55,chang-ashelia,people
14,1,0,https://pic2.zhimg.com/26d45179e66bc2d107381b79d40848e1_is.jpg,https://pic2.zhimg.com/26d45179e66bc2d107381b79d40848e1_{size}.jpg,[],797,0,iOS 开发工程师,acb8a30cad0a21b1824bdc2bc62f45fb,False,False,False,False,小九九,people,http://www.zhihu.com/api/v4/people/acb8a30cad0a21b1824bdc2bc62f45fb,zhang-jia-hui-kiyomi,people
15,2,0,https://pic4.zhimg.com/v2-8643c0dfe2fee90ba45cdcc2c8e07edf_is.jpg,https://pic4.zhimg.com/v2-8643c0dfe2fee90ba45cdcc2c8e07edf_{size}.jpg,[],1142,0,某乎小透明。,0fd6d7a2f7832e32ef4850daf718ac90,False,False,False,False,Laura,people,http://www.zhihu.com/api/v4/people/0fd6d7a2f7832e32ef4850daf718ac90,laura-97-19,people
16,48,0,https://pic4.zhimg.com/v2-54d15de4949ea76812340c54a2ee4067_is.jpg,https://pic4.zhimg.com/v2-54d15de4949ea76812340c54a2ee4067_{size}.jpg,[],474,0,女大学生，魔武双修。,9bea9011f43372ea82ab4f24218e4505,False,False,False,False,万阿咸,people,http://www.zhihu.com/api/v4/people/9bea9011f43372ea82ab4f24218e4505,wan-a-xian-58,people
17,0,0,https://pic4.zhimg.com/v2-6a3d374974decfc029d08117738a83c3_is.jpg,https://pic4.zhimg.com/v2-6a3d374974decfc029d08117738a83c3_{size}.jpg,[],1075,0,生活就像游戏，总是从零开始,38a6c990dd9b98e4e197d392228fb86c,False,False,False,False,Amanda,people,http://www.zhihu.com/api/v4/people/38a6c990dd9b98e4e197d392228fb86c,amanda-10-65,people
18,247,62,https://pic4.zhimg.com/fdb8a75e59db51fd9d77bdf238f6ee9b_is.jpg,https://pic4.zhimg.com/fdb8a75e59db51fd9d77bdf238f6ee9b_{size}.jpg,[],27725,1,动画作者《红领巾与王小明》；纪录片导演《次元爱》,a8fb14b55ef471008cb0c7a693495ccc,False,False,False,False,DC-非凡大陆,people,http://www.zhihu.com/api/v4/people/a8fb14b55ef471008cb0c7a693495ccc,dczld,people
19,8,28,https://pic1.zhimg.com/v2-9c422a800be4157d9934d8cecf0cd260_is.jpg,https://pic1.zhimg.com/v2-9c422a800be4157d9934d8cecf0cd260_{size}.jpg,[],10248,0,摄影师，写作者。知乎live有人像摄影小课~,e5f77f230a75598cbb807de968b3b6d8,False,False,False,False,杜扬Seatory,people,http://www.zhihu.com/api/v4/people/e5f77f230a75598cbb807de968b3b6d8,seatory,people
