,answer_count,articles_count,avatar_url,avatar_url_template,badge,follower_count,gender,headline,id,is_advertiser,is_followed,is_following,is_org,name,type,url,url_token,user_type
0,1,0,https://pic3.zhimg.com/3f438e68bdef655799ab2dc0ed983686_is.jpg,https://pic3.zhimg.com/3f438e68bdef655799ab2dc0ed983686_{size}.jpg,[],0,1,IT,10e6a55651127f1d97bb11681a3efac8,False,False,False,False,ZHTbluebar,people,http://www.zhihu.com/api/v4/people/10e6a55651127f1d97bb11681a3efac8,zhang-hao-tian-43-53,people
1,26,0,https://pic4.zhimg.com/5e435437b_is.jpg,https://pic4.zhimg.com/5e435437b_{size}.jpg,[],33,1,,c213a7970bf67aeeca975f63e80e6837,False,False,False,False,虫虫,people,http://www.zhihu.com/api/v4/people/c213a7970bf67aeeca975f63e80e6837,chong-chong-53,people
2,7,0,https://pic3.zhimg.com/fdf55db8a_is.jpg,https://pic3.zhimg.com/fdf55db8a_{size}.jpg,[],6,1,,4a3d0f68c0cee4d2b8eb809cc826a9d6,False,False,False,False,WalkerWen,people,http://www.zhihu.com/api/v4/people/4a3d0f68c0cee4d2b8eb809cc826a9d6,Walker_Wen,people
3,0,0,https://pic3.zhimg.com/v2-565b11dd3ce9de9743a9a1546c5f9f56_is.jpg,https://pic3.zhimg.com/v2-565b11dd3ce9de9743a9a1546c5f9f56_{size}.jpg,[],0,-1,未来创造者,8a4b7efe2fc8b3e369da03eed24c45e6,False,False,False,False,Sophia,people,http://www.zhihu.com/api/v4/people/8a4b7efe2fc8b3e369da03eed24c45e6,sophia-65-80,people
4,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,未来的大程序猿,81afbc30b1f22b9521eb5dfb30bf18be,False,False,False,False,Tommy,people,http://www.zhihu.com/api/v4/people/81afbc30b1f22b9521eb5dfb30bf18be,tommy-49-46,people
5,1,0,https://pic4.zhimg.com/320814a72d1950a99070a2d7c11d4e9f_is.jpg,https://pic4.zhimg.com/320814a72d1950a99070a2d7c11d4e9f_{size}.jpg,[],1,1,,e9f29a963b20d5d094f062b656c40b07,False,False,False,False,Cain,people,http://www.zhihu.com/api/v4/people/e9f29a963b20d5d094f062b656c40b07,wang-ke-96-31,people
6,35,0,https://pic4.zhimg.com/55216c006a6ef03ec1b275733432c523_is.jpg,https://pic4.zhimg.com/55216c006a6ef03ec1b275733432c523_{size}.jpg,[],7,1,二了吧唧,7a48d89f2f4ac43c349a48358f293ab3,False,False,False,False,中二战士游艇,people,http://www.zhihu.com/api/v4/people/7a48d89f2f4ac43c349a48358f293ab3,liang-jia-lin-46,people
7,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,,ad60904177b6b2c68e6d1497820b1007,False,False,False,False,知若不知,people,http://www.zhihu.com/api/v4/people/ad60904177b6b2c68e6d1497820b1007,zhi-ruo-bu-zhi,people
8,1,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,大学生,1ea4c3a0cca772a335cdb93cfcebd08f,False,False,False,False,林剑颖,people,http://www.zhihu.com/api/v4/people/1ea4c3a0cca772a335cdb93cfcebd08f,lin-jian-ying-46-86,people
9,3,0,https://pic4.zhimg.com/v2-65be93ebc15f1d06de43db5faacda5b3_is.jpg,https://pic4.zhimg.com/v2-65be93ebc15f1d06de43db5faacda5b3_{size}.jpg,[],3,1,向往IT的伪机电工,4c82513ebdba447e766b3906ce5fd5fd,False,False,False,False,唐唐唐,people,http://www.zhihu.com/api/v4/people/4c82513ebdba447e766b3906ce5fd5fd,rainch-tang,people
10,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],4,-1,,f1fd9a2f69a6d0cf0da925c506d3ee99,False,False,False,False,一一一一一哥,people,http://www.zhihu.com/api/v4/people/f1fd9a2f69a6d0cf0da925c506d3ee99,yiyiyiyiyige,people
11,0,0,https://pic2.zhimg.com/v2-0692455a80e29c7135eaacabdc74634d_is.jpg,https://pic2.zhimg.com/v2-0692455a80e29c7135eaacabdc74634d_{size}.jpg,[],0,0,,adc11d3825d849e80960c619c082ef3a,False,False,False,False,赵彤,people,http://www.zhihu.com/api/v4/people/adc11d3825d849e80960c619c082ef3a,zhao-tong-10-32,people
12,3,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,,7ff409c69fb0db0489280ced33ff72a7,False,False,False,False,万昱辰,people,http://www.zhihu.com/api/v4/people/7ff409c69fb0db0489280ced33ff72a7,wan-yu-chen-96-98,people
13,1,0,https://pic1.zhimg.com/v2-67efcf9edfa4b4b75914e5a50a2d8604_is.jpg,https://pic1.zhimg.com/v2-67efcf9edfa4b4b75914e5a50a2d8604_{size}.jpg,[],1,0,悟空的小名叫空空,967d61f70c2ae57b8e5afca351c05ca8,False,False,False,False,空空,people,http://www.zhihu.com/api/v4/people/967d61f70c2ae57b8e5afca351c05ca8,xiang-liu-22-63,people
